"Back to Contents","Data 1: Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)"
"Sourcekey","WCRFPUS2"
"Date","Weekly U.S. Field Production of Crude Oil  (Thousand Barrels per Day)"
"30323.0","8634.0"
"30330.0","8634.0"
"30337.0","8634.0"
"30344.0","8634.0"
"30351.0","8660.0"
"30358.0","8660.0"
"30365.0","8660.0"
"30372.0","8660.0"
"30379.0","8677.0"
"30386.0","8677.0"
"30393.0","8677.0"
"30400.0","8677.0"
"30407.0","8677.0"
"30414.0","8686.0"
"30421.0","8686.0"
"30435.0","8686.0"
"30449.0","8682.0"
"30456.0","8682.0"
"30470.0","8676.0"
"30477.0","8676.0"
"30484.0","8676.0"
"30491.0","8676.0"
"30498.0","8676.0"
"30505.0","8647.0"
"30512.0","8647.0"
"30519.0","8647.0"
"30526.0","8647.0"
"30533.0","8653.0"
"30540.0","8653.0"
"30547.0","8653.0"
"30554.0","8653.0"
"30561.0","8666.0"
"30568.0","8666.0"
"30575.0","8666.0"
"30582.0","8666.0"
"30589.0","8666.0"
"30596.0","8654.0"
"30603.0","8654.0"
"30610.0","8654.0"
"30617.0","8654.0"
"30624.0","8624.0"
"30631.0","8624.0"
"30638.0","8624.0"
"30645.0","8624.0"
"30652.0","8612.0"
"30659.0","8612.0"
"30666.0","8612.0"
"30673.0","8612.0"
"30680.0","8612.0"
"30687.0","8659.0"
"30694.0","8659.0"
"30701.0","8659.0"
"30708.0","8659.0"
"30715.0","8726.0"
"30722.0","8726.0"
"30729.0","8726.0"
"30736.0","8726.0"
"30743.0","8718.0"
"30750.0","8718.0"
"30757.0","8718.0"
"30764.0","8718.0"
"30771.0","8718.0"
"30778.0","8688.0"
"30785.0","8688.0"
"30792.0","8688.0"
"30799.0","8688.0"
"30806.0","8753.0"
"30813.0","8753.0"
"30820.0","8753.0"
"30827.0","8753.0"
"30834.0","8743.0"
"30841.0","8743.0"
"30848.0","8743.0"
"30855.0","8743.0"
"30862.0","8743.0"
"30869.0","8769.0"
"30876.0","8769.0"
"30883.0","8769.0"
"30890.0","8769.0"
"30897.0","8781.0"
"30904.0","8781.0"
"30911.0","8781.0"
"30918.0","8781.0"
"30925.0","8781.0"
"30932.0","8759.0"
"30939.0","8759.0"
"30946.0","8759.0"
"30953.0","8759.0"
"30960.0","8847.0"
"30967.0","8847.0"
"30974.0","8847.0"
"30981.0","8847.0"
"30988.0","8846.0"
"30995.0","8846.0"
"31002.0","8846.0"
"31009.0","8846.0"
"31016.0","8846.0"
"31023.0","8797.0"
"31030.0","8797.0"
"31037.0","8797.0"
"31044.0","8797.0"
"31051.0","8929.0"
"31058.0","8929.0"
"31065.0","8929.0"
"31072.0","8929.0"
"31079.0","8928.0"
"31086.0","8928.0"
"31093.0","8928.0"
"31100.0","8928.0"
"31107.0","8927.0"
"31114.0","8927.0"
"31121.0","8927.0"
"31128.0","8927.0"
"31135.0","8927.0"
"31142.0","8842.0"
"31149.0","8842.0"
"31156.0","8842.0"
"31163.0","8842.0"
"31170.0","8969.0"
"31177.0","8969.0"
"31184.0","8969.0"
"31191.0","8969.0"
"31198.0","8969.0"
"31205.0","8965.0"
"31212.0","8965.0"
"31219.0","8965.0"
"31226.0","8965.0"
"31233.0","8904.0"
"31240.0","8904.0"
"31247.0","8904.0"
"31254.0","8904.0"
"31261.0","8895.0"
"31268.0","8895.0"
"31275.0","8895.0"
"31282.0","8895.0"
"31289.0","8895.0"
"31296.0","8874.0"
"31303.0","8874.0"
"31310.0","8874.0"
"31317.0","8874.0"
"31324.0","8943.0"
"31331.0","8943.0"
"31338.0","8943.0"
"31345.0","8943.0"
"31352.0","8932.0"
"31359.0","8932.0"
"31366.0","8932.0"
"31373.0","8932.0"
"31380.0","8932.0"
"31387.0","8930.0"
"31394.0","8930.0"
"31401.0","8930.0"
"31408.0","8930.0"
"31415.0","8942.0"
"31422.0","8942.0"
"31429.0","8942.0"
"31436.0","8942.0"
"31443.0","8942.0"
"31450.0","8940.0"
"31457.0","8940.0"
"31464.0","8940.0"
"31471.0","8939.0"
"31478.0","8939.0"
"31485.0","8939.0"
"31492.0","8939.0"
"31499.0","8939.0"
"31506.0","8815.0"
"31513.0","8815.0"
"31520.0","8815.0"
"31527.0","8815.0"
"31534.0","8805.0"
"31541.0","8805.0"
"31548.0","8805.0"
"31555.0","8805.0"
"31562.0","8805.0"
"31569.0","8792.0"
"31576.0","8792.0"
"31583.0","8792.0"
"31590.0","8792.0"
"31597.0","8737.0"
"31604.0","8737.0"
"31611.0","8737.0"
"31618.0","8737.0"
"31625.0","8737.0"
"31632.0","8708.0"
"31639.0","8708.0"
"31646.0","8708.0"
"31653.0","8708.0"
"31660.0","8671.0"
"31667.0","8671.0"
"31674.0","8671.0"
"31681.0","8671.0"
"31688.0","8773.0"
"31695.0","8773.0"
"31702.0","8773.0"
"31709.0","8773.0"
"31716.0","8773.0"
"31723.0","8321.0"
"31730.0","8321.0"
"31737.0","8321.0"
"31744.0","8321.0"
"31751.0","8348.0"
"31758.0","8348.0"
"31765.0","8348.0"
"31772.0","8348.0"
"31779.0","8353.0"
"31786.0","8354.0"
"31793.0","8354.0"
"31800.0","8354.0"
"31807.0","8354.0"
"31814.0","8383.0"
"31821.0","8383.0"
"31828.0","8383.0"
"31835.0","8383.0"
"31842.0","8336.0"
"31849.0","8336.0"
"31856.0","8336.0"
"31863.0","8336.0"
"31870.0","8361.0"
"31877.0","8361.0"
"31884.0","8361.0"
"31891.0","8361.0"
"31898.0","8361.0"
"31905.0","8296.0"
"31912.0","8296.0"
"31919.0","8296.0"
"31926.0","8296.0"
"31933.0","8303.0"
